"","Position","Gene"
"172",172,"None"
"173",173,"None"
"174",174,"None"
"175",175,"None"
"176",176,"None"
"177",177,"None"
"178",178,"None"
"179",179,"None"
"180",180,"None"
"181",181,"None"
"182",182,"None"
"183",183,"None"
"184",184,"None"
"185",185,"None"
"186",186,"None"
"187",187,"None"
"188",188,"None"
"189",189,"None"
"190",190,"None"
"191",191,"None"
"192",192,"None"
"193",193,"None"
"194",194,"None"
"195",195,"None"
"196",196,"None"
"197",197,"None"
"198",198,"None"
"199",199,"None"
"200",200,"None"
"201",201,"None"
"202",202,"None"
"203",203,"None"
"204",204,"None"
"205",205,"None"
"206",206,"None"
"207",207,"None"
"208",208,"None"
"209",209,"None"
"210",210,"None"
"211",211,"None"
"212",212,"None"
"213",213,"None"
"214",214,"None"
"215",215,"None"
"216",216,"None"
"217",217,"None"
"218",218,"None"
"219",219,"None"
"220",220,"None"
"221",221,"None"
"222",222,"None"
"223",223,"None"
"224",224,"None"
"225",225,"None"
"226",226,"None"
"227",227,"None"
"228",228,"None"
"229",229,"None"
"230",230,"None"
"231",231,"None"
"232",232,"None"
"233",233,"None"
"234",234,"None"
"235",235,"None"
"236",236,"None"
"237",237,"None"
"238",238,"None"
"239",239,"None"
"240",240,"None"
"241",241,"None"
"242",242,"None"
"243",243,"None"
"244",244,"None"
"245",245,"None"
"246",246,"None"
"247",247,"None"
"248",248,"None"
"249",249,"None"
"250",250,"None"
"251",251,"None"
"252",252,"None"
"253",253,"None"
"254",254,"None"
"255",255,"None"
"256",256,"None"
"257",257,"None"
"258",258,"None"
"259",259,"None"
"260",260,"None"
"261",261,"None"
"262",262,"None"
"263",263,"None"
"264",264,"None"
"265",265,"None"
"266",266,"None"
"267",267,"None"
"268",268,"None"
"269",269,"None"
"270",270,"None"
"271",271,"None"
"272",272,"None"
"273",273,"None"
"274",274,"None"
"275",275,"None"
"276",276,"None"
"277",277,"None"
"278",278,"None"
"279",279,"None"
"280",280,"None"
"281",281,"None"
"282",282,"None"
"283",283,"None"
"284",284,"None"
"285",285,"None"
"286",286,"None"
"287",287,"None"
"288",288,"None"
"289",289,"None"
"290",290,"None"
"291",291,"None"
"292",292,"None"
"293",293,"None"
"294",294,"None"
"295",295,"None"
"296",296,"None"
"297",297,"None"
"298",298,"None"
"299",299,"None"
"300",300,"None"
"301",301,"None"
"302",302,"None"
"303",303,"None"
"304",304,"None"
"305",305,"None"
"306",306,"None"
"307",307,"None"
"308",308,"None"
"309",309,"None"
"310",310,"None"
"311",311,"None"
"312",312,"None"
"313",313,"None"
"314",314,"None"
"315",315,"None"
"316",316,"None"
"317",317,"None"
"318",318,"None"
"319",319,"None"
"320",320,"None"
"321",321,"None"
"322",322,"None"
"323",323,"None"
"324",324,"None"
"325",325,"None"
"326",326,"None"
"327",327,"None"
"328",328,"None"
"329",329,"None"
"330",330,"None"
"331",331,"None"
"332",332,"None"
"333",333,"None"
"334",334,"None"
"335",335,"None"
"336",336,"None"
"337",337,"None"
"338",338,"None"
"339",339,"None"
"340",340,"None"
"341",341,"None"
"342",342,"None"
"343",343,"None"
"344",344,"None"
"345",345,"None"
"346",346,"None"
"347",347,"None"
"348",348,"None"
"349",349,"None"
"350",350,"None"
"351",351,"None"
"352",352,"None"
"353",353,"None"
"354",354,"None"
"355",355,"None"
"356",356,"None"
"357",357,"None"
"358",358,"None"
"359",359,"None"
"360",360,"None"
"361",361,"None"
"362",362,"None"
"363",363,"None"
"364",364,"None"
"365",365,"None"
"366",366,"None"
"367",367,"None"
"368",368,"None"
"369",369,"None"
"370",370,"None"
"371",371,"None"
"372",372,"None"
"373",373,"None"
"374",374,"None"
"375",375,"None"
"376",376,"None"
"377",377,"None"
"378",378,"None"
"379",379,"None"
"380",380,"None"
"381",381,"None"
"382",382,"None"
"383",383,"None"
"384",384,"None"
"385",385,"None"
"386",386,"None"
"387",387,"None"
"388",388,"None"
"389",389,"None"
"390",390,"None"
"391",391,"None"
"392",392,"None"
"393",393,"None"
"394",394,"None"
"395",395,"None"
"396",396,"None"
"397",397,"None"
"398",398,"None"
"399",399,"None"
"400",400,"None"
"401",401,"None"
"402",402,"None"
"403",403,"None"
"404",404,"None"
"405",405,"None"
"406",406,"None"
"407",407,"None"
"408",408,"None"
"409",409,"None"
"410",410,"None"
"411",411,"None"
"412",412,"None"
"413",413,"None"
"414",414,"None"
"415",415,"None"
"416",416,"None"
"417",417,"None"
"418",418,"None"
"419",419,"None"
"420",420,"None"
"421",421,"None"
"422",422,"None"
"423",423,"None"
"424",424,"None"
"425",425,"None"
"426",426,"None"
"427",427,"None"
"428",428,"None"
"429",429,"None"
"430",430,"None"
"431",431,"None"
"432",432,"None"
"433",433,"None"
"434",434,"None"
"435",435,"None"
"436",436,"None"
"437",437,"None"
"438",438,"None"
"439",439,"None"
"440",440,"None"
"441",441,"None"
"442",442,"None"
"443",443,"None"
"444",444,"None"
"445",445,"None"
"446",446,"None"
"447",447,"None"
"448",448,"None"
"449",449,"None"
"450",450,"None"
"451",451,"None"
"452",452,"None"
"453",453,"None"
"454",454,"None"
"455",455,"None"
"456",456,"None"
"457",457,"None"
"458",458,"None"
"459",459,"None"
"460",460,"None"
"461",461,"None"
"462",462,"None"
"463",463,"None"
"464",464,"None"
"465",465,"None"
"466",466,"None"
"467",467,"None"
"468",468,"None"
"469",469,"None"
"470",470,"None"
"471",471,"None"
"472",472,"None"
"473",473,"None"
"474",474,"None"
"475",475,"None"
"476",476,"None"
"477",477,"None"
"478",478,"None"
"479",479,"None"
"480",480,"None"
"481",481,"None"
"482",482,"None"
"483",483,"None"
"484",484,"None"
"485",485,"None"
"486",486,"None"
"487",487,"None"
"488",488,"None"
"489",489,"None"
"490",490,"None"
"491",491,"None"
"492",492,"None"
"493",493,"None"
"494",494,"None"
"495",495,"None"
"496",496,"None"
"497",497,"None"
"498",498,"None"
"499",499,"None"
"500",500,"None"
"501",501,"None"
"502",502,"None"
"503",503,"None"
"504",504,"None"
"505",505,"None"
"506",506,"None"
"507",507,"None"
"508",508,"None"
"509",509,"None"
"510",510,"None"
"511",511,"None"
"512",512,"None"
"513",513,"None"
"514",514,"None"
"515",515,"None"
"516",516,"None"
"517",517,"None"
"518",518,"None"
"519",519,"None"
"520",520,"None"
"521",521,"None"
"522",522,"None"
"523",523,"None"
"524",524,"None"
"525",525,"None"
"526",526,"None"
"527",527,"None"
"528",528,"None"
"529",529,"None"
"530",530,"None"
"531",531,"None"
"532",532,"None"
"533",533,"None"
"534",534,"None"
"535",535,"None"
"536",536,"None"
"537",537,"None"
"538",538,"None"
"539",539,"None"
"540",540,"None"
"541",541,"None"
"542",542,"None"
"543",543,"None"
"544",544,"None"
"545",545,"None"
"546",546,"None"
"547",547,"None"
"548",548,"None"
"549",549,"None"
"550",550,"None"
"551",551,"None"
"552",552,"None"
"553",553,"None"
"554",554,"None"
"555",555,"None"
"556",556,"None"
"557",557,"None"
"558",558,"None"
"559",559,"None"
"560",560,"None"
"561",561,"None"
"562",562,"None"
"563",563,"None"
"564",564,"None"
"565",565,"None"
"566",566,"None"
"567",567,"None"
"568",568,"None"
"569",569,"None"
"570",570,"None"
"571",571,"None"
"572",572,"None"
"573",573,"None"
"574",574,"None"
"575",575,"None"
"576",576,"None"
"577",577,"MT-TF"
"578",578,"MT-TF"
"579",579,"MT-TF"
"580",580,"MT-TF"
"581",581,"MT-TF"
"582",582,"MT-TF"
"583",583,"MT-TF"
"584",584,"MT-TF"
"585",585,"MT-TF"
"586",586,"MT-TF"
"587",587,"MT-TF"
"588",588,"MT-TF"
"589",589,"MT-TF"
"590",590,"MT-TF"
"591",591,"MT-TF"
"592",592,"MT-TF"
"593",593,"MT-TF"
"594",594,"MT-TF"
"595",595,"MT-TF"
"596",596,"MT-TF"
"597",597,"MT-TF"
"598",598,"MT-TF"
"599",599,"MT-TF"
"600",600,"MT-TF"
"601",601,"MT-TF"
"602",602,"MT-TF"
"603",603,"MT-TF"
"604",604,"MT-TF"
"605",605,"MT-TF"
"606",606,"MT-TF"
"607",607,"MT-TF"
"608",608,"MT-TF"
"609",609,"MT-TF"
"610",610,"MT-TF"
"611",611,"MT-TF"
"612",612,"MT-TF"
"613",613,"MT-TF"
"614",614,"MT-TF"
"615",615,"MT-TF"
"616",616,"MT-TF"
"617",617,"MT-TF"
"618",618,"MT-TF"
"619",619,"MT-TF"
"620",620,"MT-TF"
"621",621,"MT-TF"
"622",622,"MT-TF"
"623",623,"MT-TF"
"624",624,"MT-TF"
"625",625,"MT-TF"
"626",626,"MT-TF"
"627",627,"MT-TF"
"628",628,"MT-TF"
"629",629,"MT-TF"
"630",630,"MT-TF"
"631",631,"MT-TF"
"632",632,"MT-TF"
"633",633,"MT-TF"
"634",634,"MT-TF"
"635",635,"MT-TF"
"636",636,"MT-TF"
"637",637,"MT-TF"
"638",638,"MT-TF"
"639",639,"MT-TF"
"640",640,"MT-TF"
"641",641,"MT-TF"
"642",642,"MT-TF"
"643",643,"MT-TF"
"644",644,"MT-TF"
"645",645,"MT-TF"
"646",646,"MT-TF"
"647",647,"MT-TF"
"648",648,"MT-RNR1"
"649",649,"MT-RNR1"
"650",650,"MT-RNR1"
"651",651,"MT-RNR1"
"652",652,"MT-RNR1"
"653",653,"MT-RNR1"
"654",654,"MT-RNR1"
"655",655,"MT-RNR1"
"656",656,"MT-RNR1"
"657",657,"MT-RNR1"
"658",658,"MT-RNR1"
"659",659,"MT-RNR1"
"660",660,"MT-RNR1"
"661",661,"MT-RNR1"
"662",662,"MT-RNR1"
"663",663,"MT-RNR1"
"664",664,"MT-RNR1"
"665",665,"MT-RNR1"
"666",666,"MT-RNR1"
"667",667,"MT-RNR1"
"668",668,"MT-RNR1"
"669",669,"MT-RNR1"
"670",670,"MT-RNR1"
"671",671,"MT-RNR1"
"672",672,"MT-RNR1"
"673",673,"MT-RNR1"
"674",674,"MT-RNR1"
"675",675,"MT-RNR1"
"676",676,"MT-RNR1"
"677",677,"MT-RNR1"
"678",678,"MT-RNR1"
"679",679,"MT-RNR1"
"680",680,"MT-RNR1"
"681",681,"MT-RNR1"
"682",682,"MT-RNR1"
"683",683,"MT-RNR1"
"684",684,"MT-RNR1"
"685",685,"MT-RNR1"
"686",686,"MT-RNR1"
"687",687,"MT-RNR1"
"688",688,"MT-RNR1"
"689",689,"MT-RNR1"
"690",690,"MT-RNR1"
"691",691,"MT-RNR1"
"692",692,"MT-RNR1"
"693",693,"MT-RNR1"
"694",694,"MT-RNR1"
"695",695,"MT-RNR1"
"696",696,"MT-RNR1"
"697",697,"MT-RNR1"
"698",698,"MT-RNR1"
"699",699,"MT-RNR1"
"700",700,"MT-RNR1"
"701",701,"MT-RNR1"
"702",702,"MT-RNR1"
"703",703,"MT-RNR1"
"704",704,"MT-RNR1"
"705",705,"MT-RNR1"
"706",706,"MT-RNR1"
"707",707,"MT-RNR1"
"708",708,"MT-RNR1"
"709",709,"MT-RNR1"
"710",710,"MT-RNR1"
"711",711,"MT-RNR1"
"712",712,"MT-RNR1"
"713",713,"MT-RNR1"
"714",714,"MT-RNR1"
"715",715,"MT-RNR1"
"716",716,"MT-RNR1"
"717",717,"MT-RNR1"
"718",718,"MT-RNR1"
"719",719,"MT-RNR1"
"720",720,"MT-RNR1"
"721",721,"MT-RNR1"
"722",722,"MT-RNR1"
"723",723,"MT-RNR1"
"724",724,"MT-RNR1"
"725",725,"MT-RNR1"
"726",726,"MT-RNR1"
"727",727,"MT-RNR1"
"728",728,"MT-RNR1"
"729",729,"MT-RNR1"
"730",730,"MT-RNR1"
"731",731,"MT-RNR1"
"732",732,"MT-RNR1"
"733",733,"MT-RNR1"
"734",734,"MT-RNR1"
"735",735,"MT-RNR1"
"736",736,"MT-RNR1"
"737",737,"MT-RNR1"
"738",738,"MT-RNR1"
"739",739,"MT-RNR1"
"740",740,"MT-RNR1"
"741",741,"MT-RNR1"
"742",742,"MT-RNR1"
"743",743,"MT-RNR1"
"744",744,"MT-RNR1"
"745",745,"MT-RNR1"
"746",746,"MT-RNR1"
"747",747,"MT-RNR1"
"748",748,"MT-RNR1"
"749",749,"MT-RNR1"
"750",750,"MT-RNR1"
"751",751,"MT-RNR1"
"752",752,"MT-RNR1"
"753",753,"MT-RNR1"
"754",754,"MT-RNR1"
"755",755,"MT-RNR1"
"756",756,"MT-RNR1"
"757",757,"MT-RNR1"
"758",758,"MT-RNR1"
"759",759,"MT-RNR1"
"760",760,"MT-RNR1"
"761",761,"MT-RNR1"
"762",762,"MT-RNR1"
"763",763,"MT-RNR1"
"764",764,"MT-RNR1"
"765",765,"MT-RNR1"
"766",766,"MT-RNR1"
"767",767,"MT-RNR1"
"768",768,"MT-RNR1"
"769",769,"MT-RNR1"
"770",770,"MT-RNR1"
"771",771,"MT-RNR1"
"772",772,"MT-RNR1"
"773",773,"MT-RNR1"
"774",774,"MT-RNR1"
"775",775,"MT-RNR1"
"776",776,"MT-RNR1"
"777",777,"MT-RNR1"
"778",778,"MT-RNR1"
"779",779,"MT-RNR1"
"780",780,"MT-RNR1"
"781",781,"MT-RNR1"
"782",782,"MT-RNR1"
"783",783,"MT-RNR1"
"784",784,"MT-RNR1"
"785",785,"MT-RNR1"
"786",786,"MT-RNR1"
"787",787,"MT-RNR1"
"788",788,"MT-RNR1"
"789",789,"MT-RNR1"
"790",790,"MT-RNR1"
"791",791,"MT-RNR1"
"792",792,"MT-RNR1"
"793",793,"MT-RNR1"
"794",794,"MT-RNR1"
"795",795,"MT-RNR1"
"796",796,"MT-RNR1"
"797",797,"MT-RNR1"
"798",798,"MT-RNR1"
"799",799,"MT-RNR1"
"800",800,"MT-RNR1"
"801",801,"MT-RNR1"
"802",802,"MT-RNR1"
"803",803,"MT-RNR1"
"804",804,"MT-RNR1"
"805",805,"MT-RNR1"
"806",806,"MT-RNR1"
"807",807,"MT-RNR1"
"808",808,"MT-RNR1"
"809",809,"MT-RNR1"
"810",810,"MT-RNR1"
"811",811,"MT-RNR1"
"812",812,"MT-RNR1"
"813",813,"MT-RNR1"
"814",814,"MT-RNR1"
"815",815,"MT-RNR1"
"816",816,"MT-RNR1"
"817",817,"MT-RNR1"
"818",818,"MT-RNR1"
"819",819,"MT-RNR1"
"820",820,"MT-RNR1"
"821",821,"MT-RNR1"
"822",822,"MT-RNR1"
"823",823,"MT-RNR1"
"824",824,"MT-RNR1"
"825",825,"MT-RNR1"
"826",826,"MT-RNR1"
"827",827,"MT-RNR1"
"828",828,"MT-RNR1"
"829",829,"MT-RNR1"
"830",830,"MT-RNR1"
"831",831,"MT-RNR1"
"832",832,"MT-RNR1"
"833",833,"MT-RNR1"
"834",834,"MT-RNR1"
"835",835,"MT-RNR1"
"836",836,"MT-RNR1"
"837",837,"MT-RNR1"
"838",838,"MT-RNR1"
"839",839,"MT-RNR1"
"840",840,"MT-RNR1"
"841",841,"MT-RNR1"
"842",842,"MT-RNR1"
"843",843,"MT-RNR1"
"844",844,"MT-RNR1"
"845",845,"MT-RNR1"
"846",846,"MT-RNR1"
"847",847,"MT-RNR1"
"848",848,"MT-RNR1"
"849",849,"MT-RNR1"
"850",850,"MT-RNR1"
"851",851,"MT-RNR1"
"852",852,"MT-RNR1"
"853",853,"MT-RNR1"
"854",854,"MT-RNR1"
"855",855,"MT-RNR1"
"856",856,"MT-RNR1"
"857",857,"MT-RNR1"
"858",858,"MT-RNR1"
"859",859,"MT-RNR1"
"860",860,"MT-RNR1"
"861",861,"MT-RNR1"
"862",862,"MT-RNR1"
"863",863,"MT-RNR1"
"864",864,"MT-RNR1"
"865",865,"MT-RNR1"
"866",866,"MT-RNR1"
"867",867,"MT-RNR1"
"868",868,"MT-RNR1"
"869",869,"MT-RNR1"
"870",870,"MT-RNR1"
"871",871,"MT-RNR1"
"872",872,"MT-RNR1"
"873",873,"MT-RNR1"
"874",874,"MT-RNR1"
"875",875,"MT-RNR1"
"876",876,"MT-RNR1"
"877",877,"MT-RNR1"
"878",878,"MT-RNR1"
"879",879,"MT-RNR1"
"880",880,"MT-RNR1"
"881",881,"MT-RNR1"
"882",882,"MT-RNR1"
"883",883,"MT-RNR1"
"884",884,"MT-RNR1"
"885",885,"MT-RNR1"
"886",886,"MT-RNR1"
"887",887,"MT-RNR1"
"888",888,"MT-RNR1"
"889",889,"MT-RNR1"
"890",890,"MT-RNR1"
"891",891,"MT-RNR1"
"892",892,"MT-RNR1"
"893",893,"MT-RNR1"
"894",894,"MT-RNR1"
"895",895,"MT-RNR1"
"896",896,"MT-RNR1"
"897",897,"MT-RNR1"
"898",898,"MT-RNR1"
"899",899,"MT-RNR1"
"900",900,"MT-RNR1"
"901",901,"MT-RNR1"
"902",902,"MT-RNR1"
"903",903,"MT-RNR1"
"904",904,"MT-RNR1"
"905",905,"MT-RNR1"
"906",906,"MT-RNR1"
"907",907,"MT-RNR1"
"908",908,"MT-RNR1"
"909",909,"MT-RNR1"
"910",910,"MT-RNR1"
"911",911,"MT-RNR1"
"912",912,"MT-RNR1"
"913",913,"MT-RNR1"
"914",914,"MT-RNR1"
"915",915,"MT-RNR1"
"916",916,"MT-RNR1"
"917",917,"MT-RNR1"
"918",918,"MT-RNR1"
"919",919,"MT-RNR1"
"920",920,"MT-RNR1"
"921",921,"MT-RNR1"
"922",922,"MT-RNR1"
"923",923,"MT-RNR1"
"924",924,"MT-RNR1"
"925",925,"MT-RNR1"
"926",926,"MT-RNR1"
"927",927,"MT-RNR1"
"928",928,"MT-RNR1"
"929",929,"MT-RNR1"
"930",930,"MT-RNR1"
"931",931,"MT-RNR1"
"932",932,"MT-RNR1"
"933",933,"MT-RNR1"
"934",934,"MT-RNR1"
"935",935,"MT-RNR1"
"936",936,"MT-RNR1"
"937",937,"MT-RNR1"
"938",938,"MT-RNR1"
"939",939,"MT-RNR1"
"940",940,"MT-RNR1"
"941",941,"MT-RNR1"
"942",942,"MT-RNR1"
"943",943,"MT-RNR1"
"944",944,"MT-RNR1"
"945",945,"MT-RNR1"
"946",946,"MT-RNR1"
"947",947,"MT-RNR1"
"948",948,"MT-RNR1"
"949",949,"MT-RNR1"
"950",950,"MT-RNR1"
"951",951,"MT-RNR1"
"952",952,"MT-RNR1"
"953",953,"MT-RNR1"
"954",954,"MT-RNR1"
"955",955,"MT-RNR1"
"956",956,"MT-RNR1"
"957",957,"MT-RNR1"
"958",958,"MT-RNR1"
"959",959,"MT-RNR1"
"960",960,"MT-RNR1"
"961",961,"MT-RNR1"
"962",962,"MT-RNR1"
"963",963,"MT-RNR1"
"964",964,"MT-RNR1"
"965",965,"MT-RNR1"
"966",966,"MT-RNR1"
"967",967,"MT-RNR1"
"968",968,"MT-RNR1"
"969",969,"MT-RNR1"
"970",970,"MT-RNR1"
"971",971,"MT-RNR1"
"972",972,"MT-RNR1"
"973",973,"MT-RNR1"
"974",974,"MT-RNR1"
"975",975,"MT-RNR1"
"976",976,"MT-RNR1"
"977",977,"MT-RNR1"
"978",978,"MT-RNR1"
"979",979,"MT-RNR1"
"980",980,"MT-RNR1"
"981",981,"MT-RNR1"
"982",982,"MT-RNR1"
"983",983,"MT-RNR1"
"984",984,"MT-RNR1"
"985",985,"MT-RNR1"
"986",986,"MT-RNR1"
"987",987,"MT-RNR1"
"988",988,"MT-RNR1"
"989",989,"MT-RNR1"
"990",990,"MT-RNR1"
"991",991,"MT-RNR1"
"992",992,"MT-RNR1"
"993",993,"MT-RNR1"
"994",994,"MT-RNR1"
"995",995,"MT-RNR1"
"996",996,"MT-RNR1"
"997",997,"MT-RNR1"
"998",998,"MT-RNR1"
"999",999,"MT-RNR1"
"1000",1000,"MT-RNR1"
"1001",1001,"MT-RNR1"
"1002",1002,"MT-RNR1"
"1003",1003,"MT-RNR1"
"1004",1004,"MT-RNR1"
"1005",1005,"MT-RNR1"
"1006",1006,"MT-RNR1"
"1007",1007,"MT-RNR1"
"1008",1008,"MT-RNR1"
"1009",1009,"MT-RNR1"
"1010",1010,"MT-RNR1"
"1011",1011,"MT-RNR1"
"1012",1012,"MT-RNR1"
"1013",1013,"MT-RNR1"
"1014",1014,"MT-RNR1"
"1015",1015,"MT-RNR1"
"1016",1016,"MT-RNR1"
"1017",1017,"MT-RNR1"
"1018",1018,"MT-RNR1"
"1019",1019,"MT-RNR1"
"1020",1020,"MT-RNR1"
"1021",1021,"MT-RNR1"
"1022",1022,"MT-RNR1"
"1023",1023,"MT-RNR1"
"1024",1024,"MT-RNR1"
"1025",1025,"MT-RNR1"
"1026",1026,"MT-RNR1"
"1027",1027,"MT-RNR1"
"1028",1028,"MT-RNR1"
"1029",1029,"MT-RNR1"
"1030",1030,"MT-RNR1"
"1031",1031,"MT-RNR1"
"1032",1032,"MT-RNR1"
"1033",1033,"MT-RNR1"
"1034",1034,"MT-RNR1"
"1035",1035,"MT-RNR1"
"1036",1036,"MT-RNR1"
"1037",1037,"MT-RNR1"
"1038",1038,"MT-RNR1"
"1039",1039,"MT-RNR1"
"1040",1040,"MT-RNR1"
"1041",1041,"MT-RNR1"
"1042",1042,"MT-RNR1"
"1043",1043,"MT-RNR1"
"1044",1044,"MT-RNR1"
"1045",1045,"MT-RNR1"
"1046",1046,"MT-RNR1"
"1047",1047,"MT-RNR1"
"1048",1048,"MT-RNR1"
"1049",1049,"MT-RNR1"
"1050",1050,"MT-RNR1"
"1051",1051,"MT-RNR1"
"1052",1052,"MT-RNR1"
"1053",1053,"MT-RNR1"
"1054",1054,"MT-RNR1"
"1055",1055,"MT-RNR1"
"1056",1056,"MT-RNR1"
"1057",1057,"MT-RNR1"
"1058",1058,"MT-RNR1"
"1059",1059,"MT-RNR1"
"1060",1060,"MT-RNR1"
"1061",1061,"MT-RNR1"
"1062",1062,"MT-RNR1"
"1063",1063,"MT-RNR1"
"1064",1064,"MT-RNR1"
"1065",1065,"MT-RNR1"
"1066",1066,"MT-RNR1"
"1067",1067,"MT-RNR1"
"1068",1068,"MT-RNR1"
"1069",1069,"MT-RNR1"
"1070",1070,"MT-RNR1"
"1071",1071,"MT-RNR1"
"1072",1072,"MT-RNR1"
"1073",1073,"MT-RNR1"
"1074",1074,"MT-RNR1"
"1075",1075,"MT-RNR1"
"1076",1076,"MT-RNR1"
"1077",1077,"MT-RNR1"
"1078",1078,"MT-RNR1"
"1079",1079,"MT-RNR1"
"1080",1080,"MT-RNR1"
"1081",1081,"MT-RNR1"
"1082",1082,"MT-RNR1"
"1083",1083,"MT-RNR1"
"1084",1084,"MT-RNR1"
"1085",1085,"MT-RNR1"
"1086",1086,"MT-RNR1"
"1087",1087,"MT-RNR1"
"1088",1088,"MT-RNR1"
"1089",1089,"MT-RNR1"
"1090",1090,"MT-RNR1"
"1091",1091,"MT-RNR1"
"1092",1092,"MT-RNR1"
"1093",1093,"MT-RNR1"
"1094",1094,"MT-RNR1"
"1095",1095,"MT-RNR1"
"1096",1096,"MT-RNR1"
"1097",1097,"MT-RNR1"
"1098",1098,"MT-RNR1"
"1099",1099,"MT-RNR1"
"1100",1100,"MT-RNR1"
"1101",1101,"MT-RNR1"
"1102",1102,"MT-RNR1"
"1103",1103,"MT-RNR1"
"1104",1104,"MT-RNR1"
"1105",1105,"MT-RNR1"
"1106",1106,"MT-RNR1"
"1107",1107,"MT-RNR1"
"1108",1108,"MT-RNR1"
"1109",1109,"MT-RNR1"
"1110",1110,"MT-RNR1"
"1111",1111,"MT-RNR1"
"1112",1112,"MT-RNR1"
"1113",1113,"MT-RNR1"
"1114",1114,"MT-RNR1"
"1115",1115,"MT-RNR1"
"1116",1116,"MT-RNR1"
"1117",1117,"MT-RNR1"
"1118",1118,"MT-RNR1"
"1119",1119,"MT-RNR1"
"1120",1120,"MT-RNR1"
"1121",1121,"MT-RNR1"
"1122",1122,"MT-RNR1"
"1123",1123,"MT-RNR1"
"1124",1124,"MT-RNR1"
"1125",1125,"MT-RNR1"
"1126",1126,"MT-RNR1"
"1127",1127,"MT-RNR1"
"1128",1128,"MT-RNR1"
"1129",1129,"MT-RNR1"
"1130",1130,"MT-RNR1"
"1131",1131,"MT-RNR1"
"1132",1132,"MT-RNR1"
"1133",1133,"MT-RNR1"
"1134",1134,"MT-RNR1"
"1135",1135,"MT-RNR1"
"1136",1136,"MT-RNR1"
"1137",1137,"MT-RNR1"
"1138",1138,"MT-RNR1"
"1139",1139,"MT-RNR1"
"1140",1140,"MT-RNR1"
"1141",1141,"MT-RNR1"
"1142",1142,"MT-RNR1"
"1143",1143,"MT-RNR1"
"1144",1144,"MT-RNR1"
"1145",1145,"MT-RNR1"
"1146",1146,"MT-RNR1"
"1147",1147,"MT-RNR1"
"1148",1148,"MT-RNR1"
"1149",1149,"MT-RNR1"
"1150",1150,"MT-RNR1"
"1151",1151,"MT-RNR1"
